rank	name	affiliation	citations	scholar_url
155	Vladimir Vapnik	Columbia University / NEC Labs	356989	https://scholar.google.com/citations?user=vtegaJgAAAAJ
156	Leo Breiman	UC Berkeley (Emeritus)	345620	https://scholar.google.com/citations?user=mXSv_1UAAAAJ
157	Alex Krizhevsky	University of Toronto	341768	https://scholar.google.com/citations?user=xegzhJcAAAAJ
158	Anil K. Jain	Michigan State University	291226	https://scholar.google.com/citations?user=g-_ZXGsAAAAJ
159	Luc Van Gool	INSAIT Sofia / KU Leuven (Emeritus)	288688	https://scholar.google.com/citations?user=TwMib_QAAAAJ
160	Olaf Ronneberger	University of Freiburg	269488	https://scholar.google.com/citations?user=7jrO1NwAAAAJ
161	Sergey Levine	UC Berkeley / Physical Intelligence	255932	https://scholar.google.com/citations?user=8R35rCwAAAAJ
162	Serge Belongie	University of Copenhagen	234303	https://scholar.google.com/citations?user=chD5XxkAAAAJ
163	Jia Deng	Princeton University	208963	https://scholar.google.com/citations?user=U3Eub-EAAAAJ
164	Kristina Toutanova	Google DeepMind	205619	https://scholar.google.com/citations?user=9qY7NPEAAAAJ
165	Kenton Lee	Google DeepMind	200476	https://scholar.google.com/citations?user=qXwJkr8AAAAJ
166	Pietro Perona	Caltech	198504	https://scholar.google.com/citations?user=j29kMCwAAAAJ
167	Tsung-Yi Lin	NVIDIA	198048	https://scholar.google.com/citations?user=_BPdgV0AAAAJ
168	Alexei A. Efros	UC Berkeley	189127	https://scholar.google.com/citations?user=d97bGd8AAAAJ
169	Pushmeet Kohli	Google DeepMind	185417	https://scholar.google.com/citations?user=3pyzQQ8AAAAJ
170	Thomas S. Huang	UIUC	185002	https://scholar.google.com/citations?user=rGF6-WkAAAAJ
171	Leonidas Guibas	Stanford University	183093	https://scholar.google.com/citations?user=5JlEyTAAAAAJ
172	Xiaoou Tang	CUHK	180256	https://scholar.google.com/citations?user=qpBtpGsAAAAJ
173	Cordelia Schmid	INRIA	173656	https://scholar.google.com/citations?user=IvqCXP4AAAAJ
174	Antonio Torralba	MIT	173445	https://scholar.google.com/citations?user=8cxDHS4AAAAJ
175	Dragomir Anguelov	Waymo	167928	https://scholar.google.com/citations?user=T04c3fwAAAAJ
176	Alexander C Berg	UC Irvine	167587	https://scholar.google.com/citations?user=jjEht8wAAAAJ
177	Andrew Barto	UMass Amherst	152893	https://scholar.google.com/citations?user=CMIgrCgAAAAJ
178	Percy Liang	Stanford University	151155	https://scholar.google.com/citations?user=pouyVyUAAAAJ
179	Mike Lewis	Facebook AI Research	142680	https://scholar.google.com/citations?user=SnQnQicAAAAJ
180	Wojciech Zaremba	OpenAI (co-founder)	141472	https://scholar.google.com/citations?user=XCZpOcAAAAAJ
181	Devi Parikh	ex-Meta / Georgia Tech	136713	https://scholar.google.com/citations?user=ijpYJQwAAAAJ
182	Kevin Murphy	Google Research	135468	https://scholar.google.com/citations?user=MxxZkEcAAAAJ
183	Chelsea Finn	Stanford / Physical Intelligence	134339	https://scholar.google.com/citations?user=vfPE6hgAAAAJ
184	Sylvain Gelly	Google Brain Zurich	129328	https://scholar.google.com/citations?user=m7LvuTkAAAAJ
185	Omer Levy	Google DeepMind	122865	https://scholar.google.com/citations?user=PZVd2h8AAAAJ
186	Andrew McCallum	UMass Amherst	118308	https://scholar.google.com/citations?user=yILa1y0AAAAJ
187	Martin Riedmiller	DeepMind	114316	https://scholar.google.com/citations?user=1gVfqpcAAAAJ
188	Dan Jurafsky	Stanford University	113913	https://scholar.google.com/citations?user=uZg9l58AAAAJ
189	Jan Leike	Anthropic	92561	https://scholar.google.com/citations?user=beiWcokAAAAJ
