author	total	models	training	safety	memory	vision	voice	other	scholar_url	affiliation	citations
Yue Wang	5	2	0	0	0	1	0	2	https://scholar.google.com/citations?hl=en&user=3TTXGAoAAAAJ	Professor, Formerly The University of Arizona, Currently Chinese Academy of Sciences	129840
Yunhe Wang	5	2	1	0	2	0	0	0	https://scholar.google.com/citations?hl=en&user=isizOkYAAAAJ	TokenRhythm Technologies	36716
Yuxin Chen	5	4	0	0	0	1	0	0	https://scholar.google.com/citations?hl=en&user=RtNVud4AAAAJ	University of Pennsylvania	9782
Zeyuan Allen-Zhu	5	1	2	1	0	0	0	1	https://scholar.google.com/citations?hl=en&user=MoJFIiQAAAAJ	FAIR at Meta	51360
Zheng Zhang	5	3	0	0	1	1	0	0	https://scholar.google.com/citations?hl=en&user=nZ_PVbsAAAAJ	Researcher, Coder	74565
Zhenkun Wang	5	2	1	0	1	0	0	1	https://scholar.google.com/citations?hl=en&user=r9ezy2gAAAAJ	Southern University of Science and Technology (SUSTech)	4721
Zhiyuan Liu	5	0	3	0	1	0	0	1	https://scholar.google.com/citations?hl=en&user=dT0v5u0AAAAJ	Professor, Tsinghua University | ModelBest | OpenBMB	90208
Zhuoran Yang	5	2	1	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=k7NgVSUAAAAJ	Yale University	15452
Zicheng Liu	5	1	0	0	0	3	0	1	https://scholar.google.com/citations?hl=en&user=bkALdvsAAAAJ	Microsoft	49362
Ziniu Hu	5	0	0	0	0	1	0	4	https://scholar.google.com/citations?hl=en&user=x6ct1CsAAAAJ	xAI	8315
Adam Wierman	4	2	0	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=4OvOdSgAAAAJ	Carl F Braun Professor of Computing+Mathematical Sciences, Caltech	15281
Alberto Metelli	4	1	0	1	0	0	0	2	https://scholar.google.com/citations?hl=en&user=R31IsPwAAAAJ	Assistant Professor, Politecnico di Milano	1889
Alireza Makhzani	4	1	1	1	1	0	0	0	https://scholar.google.com/citations?hl=en&user=B0KVWJEAAAAJ	Research Scientist, Google DeepMind	7688
Amit Sharma	4	1	0	1	0	0	0	2	https://scholar.google.com/citations?hl=en&user=0PVj-RAAAAAJ	Love Vashikaran Astrology	56396
Andreas Krause	4	0	1	0	0	1	0	2	https://scholar.google.com/citations?hl=en&user=eDHv58AAAAAJ	Professor of Computer Science, ETH Zurich	59587
Anpeng Wu	4	2	0	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=VQ4m6zQAAAAJ	Zhejiang University	783
Arman Cohan	4	0	1	1	0	1	0	1	https://scholar.google.com/citations?hl=en&user=baI7IY0AAAAJ	Yale University; Allen Institute for AI	28558
Arthur Conmy	4	0	0	4	0	0	0	0	https://scholar.google.com/citations?hl=en&user=n4HIyXQAAAAJ	Independent currently	8103
Ashish Dubey	4	1	3	0	0	0	0	0	https://scholar.google.com/citations?hl=en&user=e29SgrcAAAAJ	MCA, VIT UNIVERSITY	3237
Ashish Sabharwal	4	2	1	0	0	0	0	1	https://scholar.google.com/citations?hl=en&user=7VspfeAAAAAJ	Allen Institute for AI (AI2)	28135
Aviral Kumar	4	1	1	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=zBUwaGkAAAAJ	Carnegie Mellon University	40751
Banghua Zhu	4	0	2	0	0	0	0	2	https://scholar.google.com/citations?hl=en&user=iyDxq0EAAAAJ	Assistant Professor at University of Washington; Co-founder at RadixArk	5870
Bernie Wang	4	1	0	2	0	1	0	0	https://scholar.google.com/citations?hl=en&user=IKUm624AAAAJ	Principal Scientist, AWS	8733
